pid,survey.date,content,energy,lonely,refreshed,restful,sad,sleep,stress
158hmxr8,2018-10-21,0.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0
158hmxr8,2018-10-22,,,,2.0,0.0,,0.0,
158hmxr8,2018-10-23,1.0,1.0,0.0,2.0,2.0,0.0,,0.0
158hmxr8,2018-10-24,1.0,1.0,0.0,3.0,2.0,0.0,,2.0
158hmxr8,2018-10-25,2.0,2.0,0.0,1.0,1.0,1.0,11.0,1.0
158hmxr8,2018-10-26,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
158hmxr8,2018-10-27,,,,3.0,3.0,,12.0,
158hmxr8,2018-10-28,1.0,1.0,0.0,2.0,3.0,2.0,,0.0
158hmxr8,2018-10-29,2.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0
158hmxr8,2018-10-30,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0
158hmxr8,2018-10-31,,,,3.0,3.0,,4.0,
15ir3is3,2019-02-14,2.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0
15ir3is3,2019-02-15,3.0,3.0,0.0,3.0,3.0,0.0,9.0,0.0
15ir3is3,2019-02-16,3.0,3.0,0.0,3.0,3.0,0.0,9.0,0.0
15ir3is3,2019-02-17,3.0,3.0,0.0,3.0,2.0,0.0,8.0,0.0
15ir3is3,2019-02-18,2.0,3.0,0.0,2.0,2.0,1.0,6.0,0.0
15ir3is3,2019-02-19,3.0,3.0,0.0,3.0,3.0,0.0,9.0,0.0
15ir3is3,2019-02-20,3.0,3.0,0.0,2.0,2.0,0.0,6.0,0.0
15ir3is3,2019-02-21,3.0,2.0,0.0,2.0,3.0,0.0,7.0,0.0
15ir3is3,2019-02-22,3.0,3.0,0.0,2.0,2.0,1.0,5.0,1.0
15ir3is3,2019-02-23,3.0,3.0,0.0,2.0,2.0,0.0,7.0,0.0
15ir3is3,2019-02-24,3.0,4.0,0.0,3.0,3.0,0.0,7.0,0.0
15ir3is3,2019-02-25,3.0,4.0,0.0,2.0,2.0,0.0,7.0,0.0
15ir3is3,2019-02-26,3.0,3.0,0.0,2.0,2.0,0.0,6.0,0.0
15ir3is3,2019-02-27,3.0,3.0,0.0,3.0,3.0,0.0,6.0,0.0
15ir3is3,2019-02-28,1.0,3.0,2.0,3.0,3.0,2.0,6.0,1.0
15ir3is3,2019-03-01,2.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0
15ir3is3,2019-03-02,2.0,3.0,1.0,2.0,2.0,1.0,6.0,0.0
15ir3is3,2019-03-03,2.0,3.0,1.0,3.0,3.0,1.0,7.0,0.0
15ir3is3,2019-03-04,3.0,3.0,0.0,2.0,2.0,1.0,6.0,0.0
15ir3is3,2019-03-05,2.0,3.0,0.0,2.0,3.0,1.0,7.0,1.0
15ir3is3,2019-03-06,3.0,3.0,0.0,3.0,3.0,1.0,8.0,0.0
15ir3is3,2019-03-07,,,,2.0,2.0,,8.0,
169tvlk4,2018-10-10,2.0,2.0,0.0,,,1.0,,1.0
